label,text
0,seeing
0,great hope like man endowed lt gt inches
0,calls messages missed calls
0,didn t hep b immunisation nigeria
0,fair going
0,yeah hopefully tyler t maybe ask bit
0,u don t know stubborn didn t want hospital kept telling mark m weak sucker hospitals weak suckers
0,thinked time saw class
0,gram usually runs like lt gt half eighth smarter gets second gram lt gt
0,k fyi x ride early tomorrow morning s crashing place tonight
0,wow realized embarassed accomodations thought liked doing best happy cave m sorry didn t don t m sorry offered m sorry room embarassing
1,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
0,know mallika sherawat did yesterday lt url gt
1,congrats year special cinema pass c suprman v matrix starwars free bx ip pm dont miss
0,sorry ll later meeting
0,tell reached
0,yes gauti sehwag odi series
0,gonna pick burger way home t pain killing
0,ha ha ha good joke girls situation seekers
0,checking iq
0,sorry roommates took forever ok come
0,ok lar double check wif da hair dresser said wun cut v short said cut look nice
1,valued customer pleased advise following recent review mob awarded bonus prize
0,today song dedicated day song u dedicate send ur valuable frnds rply
1,urgent ur awarded complimentary trip eurodisinc trav aco entry claim txt dis morefrmmob shracomorsglsuplt ls aj
1,did hear new divorce barbie comes ken s stuff
0,plane month end
0,wah lucky man save money hee
0,finished class
0,hi babe im home wanna xx
0,k k did performed
0,u
0,waiting machan free
0,thats cool gentleman treat dignity respect
0,like peoples shy pa
0,does operate lt gt
0,looking job ta s earn
0,sorry ll later
0,k did just ah
0,ok way home hi hi
0,place man
0,yup stop
0,later don t network urgnt sms
0,real u getting yo need tickets jacket m used multis
0,yes started send requests make pain came m bed double coins factory gotta cash nitros
0,m really tonight babe
0,ela kano il download come wen ur free
0,yeah don t stand close tho ll catch
0,sorry pain ok meet night spent late afternoon casualty means haven t y stuff moro includes time sheets sorry
0,smile pleasure smile pain smile trouble pours like rain smile sum hurts u smile becoz loves u smiling
1,customer service representative pm won guaranteed cash prize
0,havent planning buy later check lido got e afternoon u finish work
1,free ringtone waiting collected simply text password mix verify usher britney fml po box mk h ppw
0,watching telugu movie wat abt u
0,finish loads loans pay
0,hi wk ok hols yes bit run forgot hairdressers appointment need home n shower does cause prob u
0,cup coffee animation
0,don t text anymore say
0,okay ur price long legal wen pick y u ave x ams xx
0,m looking car buy gone driving test
0,request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
0,wow right didn t mean guess gave boston men changed search location nyc changed cuz signin page says boston
0,umma life vava umma love lot dear
0,thanks lot wishes birthday thanks making birthday truly memorable
0,aight ll hit cash
0,ip address test considering computer isn t minecraft server
0,know grumpy old people mom like better lying play jokes
0,dont worry guess s busy
0,plural noun research
0,going dinner msg
0,m ok wif cos like try new things scared u dun like mah cos u said loud
1,gent trying contact weekends draw shows won prize guaranteed claim code k valid hrs ppm
0,wa ur openin sentence formal m fine juz tt m eatin n puttin weight haha anythin special happened
0,entered cabin pa said happy b day boss felt special askd lunch lunch invited apartment went
1,winner u specially selected receive holiday flights speak live operator claim p min
0,goodo yes speak friday egg potato ratio tortilla needed
0,hmm uncle just informed s paying school directly pls buy food
1,private account statement shows unredeemed bonus points claim identifier code expires
1,urgent mobile awarded bonus caller prize final try contact u landline box wr c ppm
0,new address apples pairs malarky
1,todays voda numbers ending selected receive award match quoting claim code standard rates app
0,going sao mu today
0,predict wat time ll finish buying
0,good stuff
0,just know yetunde hasn t sent money just sent text bother sending dont involve shouldn t imposed place apologise
0,room
0,hey girl r u hope u r del r bak long time c sum time lucyxx
0,k k does cost
0,m home
0,dear tmorrow pls accomodate
0,answer question
1,sunshine quiz wkly q win sony dvd player u know country algarve txt ansr sp tyrone
1,want laid tonight want real dogging locations sent direct ur mob join uk s largest dogging network bt txting gravel nt ec p msg p
0,haf msn s yijue hotmail com
0,meet
0,check rooms befor activities
1,ll rcv msgs chat svc free hardcore services text u u age verify yr network try
0,got c lazy type forgot lect saw pouch like v nice
0,k text way
0,sir waiting mail
0,swt thought nver tired doing little things lovable persons coz somtimes little things occupy d biggest hearts gud ni
0,know pls open
0,yes ya dot
0,whats staff taking class
1,freemsg haven t replied text m randy sexy female live local luv hear u netcollex p msg reply stop end
0,ummma check life begin qatar pls pray hard
0,k deleted contact
0,sindu got job birla soft
0,wine flowing m nevering
0,yup thk cine better cos need plaza mah
0,ok ur typical reply
0,request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
0,dirt floor windows shirt open mouth comes flowing dream world half chores time joy lots tv shows ll guess like things just exist like rain hail mist time
0,aaooooright work
0,m leaving house
0,hello love doing did interview today happy good boy think missing
1,customer service annoncement new years delivery waiting arrange delivery
1,winner u specially selected receive cash holiday flights speak live operator claim
0,safe need miss envy s real life
0,new car house parents new job hand
0,m love m excited day spend make happy
1,pls stop bootydelious f inviting friend reply yes stop send stop frnd
1,bangbabes ur order way u receive service msg download ur content u goto wap bangb tv ur mobile internet service menu
0,place ur points e cultures module
1,urgent trying contact weekends draw shows won prize guaranteed claim code s valid hrs
0,hi frnd best way avoid missunderstding wit beloved s
0,great escape fancy bridge needs lager tomo
0,yes completely form clark utter waste
0,sir need axis bank account bank address
0,hmmm thk sure got time hop ard ya free abt muz u discuss liao
0,time coming later
0,bloody hell believe forgot surname mr ill u clue spanish begins m
0,m gonna finish bath good fine night
0,let know ve got money carlos make
0,u going mall
0,turns friends staying won t til lt gt feel free ahead smoke lt gt worth
0,text doesnt reply let know log
0,hi just spoke maneesha v d like know satisfied experience reply toll free yes
0,lifted hopes offer money need especially end month approaches hurts studying anyways gr weekend
0,lol u trust
0,ok gentleman treat dignity respect
0,guys close
0,going great bye
0,hello handsome finding job lazy working getting net mummy s boytoy does miss
0,haha awesome minute
1,customer service representative freephone pm won guaranteed cash prize
0,got xmas radio times
0,jus reached home bathe sis using net tell u finishes k
1,unique th august
0,m sorry ve joined league people dont touch mean great deal friend times great personal cost great week
0,hi finally completed course
0,stop suggest stays able ors stool
0,doing hope ve settled new school year just wishin gr day
0,gud mrng dear hav nice day
0,did u got persons story
0,hamster dead hey tmr meet pm orchard mrt
0,hi kate evening hope tomorrow bit bloody babyjontet txt u xxx
0,enc lt gt
0,sent lt gt bucks
0,hello darlin ive finished college txt u finish u love kate xxx
0,account refilled successfully inr lt decimal gt keralacircle prepaid account balance rs lt decimal gt transaction id kr lt gt
0,goodmorning sleeping ga
0,u alter ok
0,say like dat dun buy ericsson oso oredi lar
0,entered cabin pa said happy b day boss felt special askd lunch lunch invited apartment went
0,aight yo dats straight dogg
0,connection today lt decimal gt refund
0,shoot big loads ready
0,s bruv hope great break rewarding semester
0,home chat
0,k k good study
0,yup noe leh
0,sounds great home
0,finally match heading draw prediction
0,tired haven t slept past nights
0,easy ah sen got selected means good
0,exam march
0,yeah think use gt atm register sure s help let know sure ready
0,ok prob ur time
0,os called ubandu run installing hard disk use os copy important files repair shop
0,sorry ll later
0,u say leh course happen lar say v romantic jus bit lor thk e nite scenery nice leh
1,new mobiles txt nokia collect today optout gbp mtmsg
0,really appreciate just need talk
1,u meet ur dream partner soon ur career flyng start free txt horo followed ur star sign e g horo aries
0,hey company elama po mudyadhu
0,life strict teacher bcoz teacher teaches lesson amp conducts exam life conducts exam amp teaches lessons happy morning
0,dear good morning
0,gandhipuram walk cross cut road right lt gt street road turn right
0,dear going rubber place
0,sorry battery died yeah m
0,yes tv available work place
1,text meet sexy today u date flirt u join just p reply age sam msg recd thirtyeight pence
0,printed oh lt gt come upstairs
0,ill little closer like bus stop street
0,wil reach
0,new theory argument wins d situation loses person dont argue ur friends just kick amp say m correct
1,u secret admirer looking make contact u r reveal thinks ur special
0,tomarrow final hearing laptop case
0,pleassssssseeeeee tel v avent sportsx
0,okay just shining meant signing sounds better
0,told u dat m baig face watches really like e watch u gave cos s fr u thanx dat u ve today m touched
0,u don t remember old commercial
0,late said website didn t dont slippers
0,asked ok
0,kallis wont bat nd innings
0,didnt work oh ok goodnight ll fix ready time wake dearly missed good night sleep
1,congratulations ur awarded cd vouchers gift guaranteed free entry wkly draw txt music tncs
0,ranjith cal drpd deeraj deepak min hold
0,wen ur lovable bcums angry wid u dnt seriously coz angry d childish n true way showing deep affection care n luv kettoda manda nice day da
0,doing
0,ups days shipping company takes wks way usps takes week gets lag bribe nipost stuff
0,m lemme know ready
0,don t necessarily expect m just headin
0,mmm yummy babe nice jolt suzy
0,lover need
1,tried contact reply offer video handset anytime networks mins unlimited text camcorder reply
0,m parked mini coming today think
0,yup
0,m going shopping cos sis dun disturb u liao
0,luton ring ur h
1,hey really horny want chat naked text hot text charged pm unsubscribe text stop
0,dint come
0,wana plan trip sometme
0,sure trying hold
1,ur ringtone service changed free credits club mobiles com choose content stop txt club stop p wk club po box mk wt
0,evo just download flash jealous
1,ringtone club uk singles chart mobile week choose quality ringtone message free charge
0,come mu sorting narcotics situation
0,night ended day morning come special way smile like sunny rays leaves worries blue blue bay
1,hmv bonus special pounds genuine hmv vouchers won just answer easy questions play send hmv info
0,usf guess car
0,objection bf coming
0,thanx
0,tell rob mack gf theater
0,awesome ll bit
0,just sent type food like
0,handed celebrations swing
0,got called tool
0,wen u miss person definitely special u person special miss just touch gdeve
0,ok asked money far
0,okie
0,yeah think usual guy s passed night ahold anybody let know ll throw
0,k come tonight class lets early
0,ok
0,hi baby im cruisin girl friend r u hour home thats alright fone fone love jenny xxx
0,life means lot love life love people life world calls friends world ge
0,dear shall mail tonite busy street shall update tonite things looking ok varunnathu edukkukayee raksha ollu good real sense
0,hey told gautham ah
0,haf u feel stupid da v cam working
0,oops got bit
0,buzy
0,accidentally deleted message resend
1,t mobile customer claim free camera phone upgrade pay sim card loyalty offer ends thfeb t c s apply
0,unless s situation gurl appropriate
0,hurt tease make end life die plz rose grave say stupid miss u nice day bslvyl
0,pick phone right pls send message
0,need coffee run tomo t believe s time week
0,awesome remember time got somebody high time diesel v
0,shit really shocking scary imagine second def night u think crash night save taxi
0,oh way food fridge want meal tonight
0,womdarfull actor
1,sms ac blind date u rodds m aberdeen united kingdom check sms ac w icmb cktz r blind dates send hide
0,yup remb think book
0,jos ask u wana meet
0,lol yes friendship hanging thread cause u won t buy stuff
1,themob check newest selection content games tones gossip babes sport mobile fit funky text wap
0,garage keys aren t bookshelf
0,today accept day u accept brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy
1,think ur smart win week weekly quiz text play t cs winnersclub po box m uz gbp week
0,says ll friend s got money s definitely buying end week
0,hi way u day normal way real ur unique hope know u rest mylife hope u wot lost
0,day great day
0,k k advance happy pongal
0,hmmm guess kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao
0,really dude friends m afraid
1,december mobile mths entitled update latest colour camera mobile free mobile update free
0,coffee cake guess
0,merry christmas babe love ya kisses
0,hey dont just watch x men lunch haha
0,cud u tell ppl im gona b bit l cos buses hav gon past cos im waitin pete x
0,great ll guild meet bristol road touch weekend plans flight good week
0,problem doing
0,calls messages missed calls
0,hi da todays class
0,d say s good sign know track record reading women
0,cool text parked
0,m reading text just sent meant joke read light
0,k k apo k good movie
0,maybe book tomo return immediately
1,germany pence minute fixed line access number prepayment direct access
0,chance evaporated soon violated privacy stealing phone number employer s paperwork cool contact report supervisor
1,valentines day special win quiz partner trip lifetime send p msg rcvd custcare
0,ta daaaaa home babe
0,cool come havent wined dined
0,just sleeping surfing
0,sorry ll later
0,u calling right hand phone
0,ok s great thanx lot
0,post come s texts happy reading wiv hello caroline end favourite bless
0,u hiding stranger
0,interested like
0,sister cleared round birla soft yesterday
0,gudnite tc practice going
0,dis yijue jus saw ur mail case huiming havent sent u num dis num
0,small prestige problem
1,fancy shag interested sextextuk com txt xxuk suzy txts cost msg tncs website x
0,just checking really miss seeing jeremiah great month
0,nah t help ve iphone
0,car hour half m going apeshit
0,today sorry day angry misbehaved hurt plz plz just slap urself bcoz ur fault m basically good
0,yo guys figure need alcohol jay trying figure safely spend weed
0,lt gt ish minutes minutes ago wtf
0,thank calling forgot say happy onam sirji fine remembered met insurance person meet qatar insha allah rakhesh ex tata aig joined tissco tayseer
1,congratulations ur awarded cd vouchers gift guaranteed free entry wkly draw txt music tncs
1,ur cash balance currently pounds maximize ur cash send cash p msg cc hg suite lands row w j hl
0,m actor work work evening sleep late m unemployed moment sleep late unemployed day saturday
0,hello just got st andrews boy long way cold posted
0,ha ha cool cool chikku chikku db
0,oh ok prob
0,check audrey s status right
0,busy trying finish new year looking forward finally meeting
0,good afternoon sunshine dawns day refreshed happy alive breathe air smile think love
0,know z care worries
1,update xmas offer latest motorola sonyericsson nokia free bluetooth double mins txt orange mobileupd optout f q
1,discount code rp stop messages reply stop customer services
0,wat uniform
0,cool text ready
0,hello boytoy geeee miss just woke wish bed cuddling love
0,spoil bed
0,m going bath msg lt gt min
0,talking people sure pay agree price pls tell want really buy willing pay
1,thanks ringtone order reference t charged gbp week unsubscribe anytime calling customer services
0,say happen
0,seen did t recognise face
0,s lot things happening lindsay new years sighs bars ptbo blue heron going
0,payasam rinu brings
0,taught ranjith sir called sms like becaus hes verifying project prabu told today pa dont mistake
0,guess s worried know s way body repairs m quite sure shouldn t worry ll slow tests guide ovulation just relax ve said reason worry ll followin
0,yeah sure couple minutes track wallet
0,hey leave big deal care
0,hey late ah meet
1,double mins txts months free bluetooth orange available sony nokia motorola phones mobileupd optout n dx
0,took mr owl licks
0,customer place
0,mm time dont like fun
1,mths half price orange line rental latest camera phones free phone mths mobilesdirect free update stoptxt
0,yup having lunch buffet u eat
0,huh late fr dinner
0,hey sat going intro pilates kickboxing
0,morning ok
0,yes think office lap room think thats days didnt shut
0,pick bout ish time going
0,performance award calculated month current month period
0,actually sleeping u text gr rock sis send u text wen wake
0,putting business pictures ass facebook open people ve met think picture room hurt make feel violated
0,good evening sir al salam wahleykkum sharing happy news grace god got offer tayseer tissco joined hope fine inshah allah meet rakhesh visitor india
0,hmmm k want change field quickly da wanna administrator network administrator
1,free ringtone text poly text true tone help st free tones x pw e nd txt stop
0,dear chechi did talk
0,hair cream shipped
0,s happening til
0,yep great loxahatchee xmas tree burning lt gt starts hour
0,haha used driving usf man know lot stoners
0,slightly disastrous class pm fav darlings hope day ok coffee wld good t stay late tomorrow time place
0,hello good week fancy drink later
0,headin busetop
0,message text missing sender missing number missing sent date missing missing u lot thats y missing sent fullonsms com
0,come room point iron plan weekend
0,cos want thing
0,okies ll yan jiu skip ard oso cine den mrt blah blah blah
0,bring home wendy d
1,dating service cal l box sk ch
0,whatsup dont u want sleep
0,alright new goal
1,free entry weekly competition just text word win t c
0,alright ll head minutes text meet
1,send logo ur lover names joined heart txt love mobno love adam eve yahoo pobox w wq txtno ads p
0,yes week m taking live
1,contacted dating service entered phone fancy landline pobox n tf p
0,siva hostel aha
1,urgent mobile number awarded prize guaranteed land line claim valid hrs
0,send ur friends receive ur voice speaking expression childish naughty sentiment rowdy ful attitude romantic shy attractive funny lt gt irritating lt gt lovable reply
0,ok ll ok guess
0,aathi dear
0,pain urination thing
0,esplanade mind giving lift cos got car today
0,wnt buy bmw car urgently vry urgent hv shortage lt gt lacs source arng dis amt lt gt lacs thats prob
0,home watching tv lor
0,does usually fucking minutes respond yes question
1,congrats nokia video camera phone calls cost ppm ave mins vary mobiles close post bcm ldn wc n xx
0,booked ticket pongal
0,available m like right hillsborough amp lt gt th
0,message sent askin lt gt dollars shoul pay lt gt lt gt
0,ask g iouri ve told story like times
0,long does applebees fucking
0,hi hope u txt journey gd mins late think
0,like love arrange
0,yes really great bhaji told kallis best cricketer sachin world tough
0,supposed wake gt
0,oic saw tot din c group liao
0,sorry ll later
0,hey hey werethe monkeespeople say monkeyaround howdy gorgeous howu doin foundurself jobyet sausage love jen xxx
0,sorry battery died come m getting gram s place
0,blimey exercise yeah kinda remember wot hmm
0,wont concentration dear know mind
0,lol plans new years
0,min later k
0,hanks lotsly
0,thanks hope good day today
0,k k want transfer acc
0,ok tell stay yeah tough optimistic things improve month
1,loan purpose homeowners tenants welcome previously refused help free text help
0,si si think ill make oreo truffles
0,look amy ure beautiful intelligent woman like u lot know u don t like like don t worry
0,hope s result consistently intelligent kind start asking practicum links ears open best ttyl
0,cost guess isnt bad miss ya need ya want ya love ya
0,going different feeling wavering decisions coping individual time heal believe
0,did u phone gonna die stay
0,great better day gives reasons thank god
1,upgrdcentre orange customer claim free camera phone upgrade loyalty offer ends th july t c s apply opt available
0,sorry ll later ok bye
0,ok way railway
0,great princess love giving receiving oral doggy style fave position enjoy making love lt gt times night
0,don t stuff roads getting slippery
0,going ride bike
0,yup need ll jus wait e rain stop
0,company tell language
1,okmail dear dave final notice collect tenerife holiday cash award landline tcs sae box cw wx ppm
0,long screamed princess
0,meant money enters account bank remove flat rate transfered lt gt account lt gt dollars got removed banks differ charges differ sure trust ja person sending account details cos
1,want laid tonight want real dogging locations sent direct ur mob join uk s largest dogging network txting moan nyt ec p msg p
0,nice line said broken heart plz don t cum times infront wise ll trust u good t
0,ok m gonna head usf like minutes
0,love aathi love u lot
0,tension ah machi problem
0,k pick th
0,guys getting g said thinking staying mcr
0,u sec
0,yo carlos friends asking working weekend
0,watching tv lor
0,thank baby wait taste real thing
0,change fb jaykwon thuglyfe falconerf
0,win really long time
1,free message activate free text messages replying message word free terms conditions visit
0,dear reached railway happen
0,depends quality want type sent boye faded glory want ralphs maybe
0,think ve fixed send test message
0,sorry man account s dry want trade half buy shit credit card
1,congrats year special cinema pass c suprman v matrix starwars free bx ip pm dont miss
0,sorry meeting ll later
0,class lt gt reunion
0,free
0,got meh
0,nope think monday sorry replied late
0,told accenture confirm true
0,kate jackson rec center ish right
0,dear reache room
0,fighting world easy u win lose bt fightng close u dificult u lose u lose u win u lose
0,come
0,check nuerologist
0,lolnice went fish water
1,congratulations week s competition draw u won prize claim just b t cs stop sms ppm
0,s waiting e car dat s bored wat cos wait outside got home stuff watch tv wat
0,maybe westshore hyde park village place near house
0,know s anthony bringing money ve school fees pay rent stuff like thats need help friend need
0,s significance
0,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply
0,latest g s scrounge ammo want new ak try
0,prabha m soryda realy frm heart m sory
0,lol ok forgiven
0,jst change tat
1,guaranteed latest nokia phone gb ipod mp player prize txt word collect ibhltd ldnw h p mtmsgrcvd
0,s competition
1,boltblue tones p reply poly mono poly cha cha slide yeah slow jamz toxic come stop tones txt
1,credits topped renewal pin tgxxrz
0,way transport problematic sat night way u want ask n join bday feel free need know definite nos booking fri
0,usually person unconscious s children adults just behave abnormally ll
0,s ebay
0,shall come pickle
0,gonna tacos
0,s rude campus
1,urgent mobile awarded bonus caller prize nd attempt contact box qu
0,hi won t b ard christmas enjoy n merry x mas
1,today s offer claim ur worth discount vouchers text yes savamob member offers mobile t cs sub unsub reply x
0,yes pretty lady like single
1,recieve tone hrs terms conditions channel u teletext pg
0,jay says double faggot
1,private account statement shows redeemed s m points identifier code expires
0,today sunday sunday holiday work
0,gudnite tc practice going
0,ll late
0,ve called hoping l r malaria know miss guys miss bani big pls love especially great day
0,good afternoon love goes day hope maybe got leads job think boytoy send passionate kiss sea
0,probably gonna later tonight lt
0,maybe fat fingers just press buttons doesn t know
0,ummmmmaah happy returns d day dear sweet heart happy birthday dear
0,tirupur da started office
1,monthlysubscription p msg max month t csc web age stop txt stop
0,famous quote develop ability listen unconditionally losing temper self confidence means married
0,going college pa ill come self pa
0,oclock just bash flat plan
0,girl does stay bed girl doesn t need recovery time id pass having fun cooped bed
0,special
0,know need hotel just got invitation apologise cali sweet come english bloke s weddin
0,sorry took long omw
0,wait lt gt min
0,ok minutes think btw alibi cutting hair time
0,imagine finally sink bath paces maybe having eat left imagine feel cage cock surrounded bath water reminding owns enjoy cuck
0,hurry ve weed deficient like days
0,sure acknowledgement s astoundingly tactless generally faggy demand blood oath fo
0,ok night warm bath drink cup milk ll work magic need loose weight just know
0,ll look frying pan case s cheap book s silly frying pan isn t likely book
0,o uv causes mutations sunscreen like essential thesedays
0,having lunch online
0,know friend told
0,hi princess thank pics pretty
0,aiyo u c ex dunno abt mei haven reply time u reply fast y lucky workin huh got bao ur sugardad ah gee
0,hi msg m office
0,thanx e brownie s v nice
0,geeeee love barely stand
1,gent trying contact weekends draw shows won prize guaranteed claim code k valid hrs ppm
0,fuck babe miss know t let send money net need want crave
0,ill u mrw ninish address icky american freek wont stop callin bad jen k eh
0,oooh bed ridden ey thinking
0,anyways just gym love smiles hope ok having good day babe miss
0,love daddy make scream pleasure going slap ass dick
0,wot u wanna missy
0,yar lor wait mum finish sch lunch lor morning stay home clean room room quite clean hee
0,know lab goggles went
0,open door
0,waiting
0,nope waiting sch daddy
1,won cash prize claim
0,m tired arguing week week want ll
0,wait sch finish ard
1,mobile number won claim calls ring claims hot line
0,arngd marriage u r walkin unfortuntly snake bites u bt love marriage dancing frnt d snake amp sayin bite bite
0,huh early having dinner outside izzit
0,ok need change said
1,tried contact reply offer mins textand new video phone reply free delivery tomorrow
0,ex wife able kids want kids day
0,s scotland hope showing jjc tendencies care live dream
0,tell u headache just want use hour sick time
0,dun thk ll quit hmmm jazz yogasana oso meet em lessons den
0,pete ring meive hardly gotany credit
0,ya srsly better yi tho
0,m meeting later
1,ur chance win wkly shopping spree txt shop t s c s custcare x p wk
1,specially selected receive pound award lines close cost ppm t cs apply ag promo
1,private account statement shows redeemed s m points identifier code expires
0,grand prix
0,met stranger choose friend long world stands friendship ends lets friends forever gud nitz
0,great
0,gud mrng dear nice day
1,important customer service announcement freephone
0,exhausted train morning wine pie sleep
0,m going buy mum s present ar
0,mind blastin tsunamis occur rajnikant stopped swimming indian ocean d
0,u sending home s ok lor m ready
0,speaking does cash
0,happy come noon
0,meet lunch la
0,care n soon
1,xclusive clubsaisai morow soiree speciale zouk nichols paris free roses ladies info
0,meant say wait u getting bored bridgwater banter
0,neva mind s ok
0,s fine imma drink somethin want come
1,days kick euro u kept date latest news results daily removed send txt stop
0,valentine game send dis msg ur friends answers r d really loves u ques colour suits best rply
0,dependents
0,thanx today cer nice catch ave time oh care c u soon c
0,called said choose future
0,happy valentines day know early hundreds handsomes beauties wish thought finish aunties uncles st
0,like v shock leh cos telling shuhui like telling leona like dat know liao got ask abt ur reaction lor
0,family happiness
0,come n pick come immediately aft ur lesson
0,let snow let snow kind weather brings ppl friendships grow
0,dear got lt gt dollars hi hi
0,good words words leave u dismay times
0,make sure alex knows birthday minutes far concerned
0,sorry got things pub later
0,nah s straight just bring bud drinks s actually little useful straight cash
0,haha good hear m officially paid market th
0,licks does center tootsie pop
0,yup thk r e teacher said make face look longer darren ask cut short
1,new textbuddy chat horny guys ur area just p free receive search postcode gaytextbuddy com txt
1,todays vodafone numbers ending selected receive award number matches receive award
0,dont say like hi hi hi
0,thank u
0,oh forwarded message thought send
0,got seventeen pounds seven ml hope ok
1,dear voucher holder claim weeks offer pc ts cs apply stop texts txt stop
0,n funny
0,sweetheart hope having kind day loads reasons smile biola
0,login dat time dad fetching home
0,shower baby
0,askd u question hours answer
0,imma definitely need restock thanksgiving ll let know m
0,said kiss kiss t sound effects gorgeous man isn t kind person needs smile brighten day
0,probably gonna swing wee bit
0,ya nice ready thursday
0,allo braved buses taken trains triumphed mean b ham jolly good rest week
0,watching cartoon listening music amp eve temple amp church u
0,mind ask happened dont say uncomfortable
1,private account statement shows redeemed s m points identifier code expires
0,prob send email
1,won cash prize claim t c rstm sw ss ppm
0,thats cool slow gentle sonetimes rough hard
0,m gonna say sorry normal starting panic time sorry seeing tuesday
0,wait know wesleys town bet does hella drugs
0,fine miss
0,did u got persons story
0,tell drug dealer s getting impatient
0,sun come earth send luv rays cloud come river send luv rain come meet u send care msg u gud evng
0,place man
0,doesnt make sense unless free need know wikipedia com
1,premium phone services
0,sea lays rock rock envelope envelope paper paper words
0,mum s repent
0,sorry going home daddy come fetch later
0,leave start prepare
0,yes baby study positions kama sutra
0,en chikku nange bakra msg kalstiya tea coffee
0,carlos ll minute need buy
0,pay lt decimal gt lakhs
0,good evening ttyl
0,did u receive msg
0,ho ho big belly laugh ya tomo
1,sms ac sun posts hello cool wanted say hi hi stop send stop
1,ur st ringtone free reply msg tone gr tones phone week just wk opt send stop
0,ditto won t worry saying anymore like said night want ll peace
0,ve got lt gt way pick
0,dont knw pa just drink milk
0,maybe say hi got card great escape wetherspoons
0,piggy r u awake bet u sleeping m going lunch
0,cause m freaky lol
0,missed cause yelling scrappy miss u t wait u come home m lonely today
0,hex place talk explain
0,log wat s sdryb
0,xy going e lunch
1,hi m sue years old work lapdancer love sex text live m bedroom text sue textoperator g da ppmsg
0,wanted ask wait finish lect cos lect finishes hour
0,finished work
0,king crying baby great building map imprtant u r today u wil reach tomorw gud ni
0,dear cherthala case u r coming cochin pls bfore u start shall reach accordingly tell day u r coming tmorow engaged ans holiday
0,thanks love doing torch bold
1,forwarded immediately urgent message waiting
0,farm open
0,sorry trouble u buy d dad big small sat n sun thanx
0,sister law hope having great month just saying hey abiola
0,purchase d stuff today mail po box number
0,ah poop looks like ill prob send laptop fixed cuz gpu problem
0,good good job like entrepreneurs
0,aight close alex s place
0,meet corporation st outside gap mind working
0,mum ask buy food home
0,k u dont msg reply msg
0,r willing pay
0,sorry ll later
0,important prevent dehydration giving fluids
0,thats bit weird supposed happening good idea sure pub
0,true dear sat pray evening felt sms d time
0,don t think away trek long family town sorry
0,wanna gym harri
0,quite late lar ard wun b drivin
1,review fantastic nokia n gage game deck club nokia unsubscribe alerts reply word
1,mths half price orange line rental latest camera phones free phone mths mobilesdirect free update stoptxt t cs
0,height confidence aeronautics professors wer calld amp wer askd sit aeroplane aftr sat wer told dat plane ws students dey hurried d plane bt didnt said students wont start datz confidence
0,just like weird timing night g want come smoke day shitstorm attributed coming making smoke
1,pm cost p
0,save stress person dorm account just send account details money sent
0,knows lunch menu da know
0,stuff sell ll tell
